id,errorText
1,SyntaxError: illegal target for annotation
2,SyntaxError: can't assign to literal
3,SyntaxError: invalid token
4,SyntaxError: keyword can't be an expression
5,SyntaxError: invalid character in identifier
6,SyntaxError: can't use starred expression here
7,SyntaxError: keyword argument repeated
8,TabError: inconsistent use of tabs and spaces in indentation
9,SyntaxError: ID outside loop
10,SyntaxError: ID outside function
11,SyntaxError: ID not properly in loop
12,SyntaxError: can't assign to operator
13,SyntaxError: positional argument follows keyword argument
14,SyntaxError: can't assign to function call
15,IndentationError: unindent does not match any outer indentation level
16,SyntaxError: unexpected EOF while parsing
17,SyntaxError: unexpected character after line continuation character
18,SyntaxError: EOF while scanning triple-quoted string literal
19,SyntaxError: (unicode error) ID codec can't decode bytes in position NUM-NUM: truncated \UXXXXXXXX escape
20,SyntaxError: EOL while scanning string literal
21,IndentationError: expected an indented block
22,SyntaxError: f-string: expecting ID
23,SyntaxError: invalid syntax
24,IndentationError: unexpected indent
25,IndentationError: unexpected unindent
26,SyntaxError: can't assign to keyword
27,No Error: 
28,SyntaxError: unmatched ID
